Bedroom,Bathroom,Property Size,Ad List,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Park,School,price
3.0,2.0,868.0,100635823,"Playground, Parking, Security, Minimart, Multipurpose hall, Lift",Sri Ria Apartments,TLS Group,Freehold,"Jalan Pasir Emas 4, Kajang, Selangor",2007.0,15.0,462.0,Apartment,1.0,Medium,Bumi Lot,E,31334,REN 31521,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,269000
4.0,5.0,2907.0,103666072,"Playground, Club house, Security, Swimming Pool, Multipurpose hall, Gymnasium, Jogging Track",The Tropics Condominium (Kuching),Regal Group,Leasehold,"Tabuan Heights, Kuching, Sarawak",2014.0,4.0,128.0,Condominium,2.0,High,Non Bumi Lot,E,31902,REN 32507,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,1200000
4.0,2.0,1000.0,103666982,"Parking, Gymnasium, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Jogging Track",BK JH,Ideal Property Group,Freehold,"Jade hill, Selangor, Kajang",2014.0,20.0,462.0,Condominium,2.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,440000
3.0,2.0,1100.0,95763369,"Playground, Gymnasium, Barbeque area, Swimming Pool, Jogging Track, Sauna, Multipurpose hall",Semarak & Penaga Condominium,Impiana Land & Development Sdn Bhd,Leasehold,"Jalan Raintree Utama, Taman Raintree, Batu Caves, Selangor",2014.0,20.0,684.0,Condominium,1.0,Medium,Non Bumi Lot,E,19610,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Sekolah Jenis Kebangsaan (T) Batu Caves,349000
4.0,2.0,1206.0,95149506,"Jogging Track, Barbeque area, Playground, Sauna, Swimming Pool, Gymnasium, Multipurpose hall",Semarak & Penaga Condominium,Impiana Land & Development Sdn Bhd,Leasehold,"Jalan Raintree Utama, Taman Raintree, Batu Caves, Selangor",2014.0,20.0,684.0,Condominium,1.0,Medium,Non Bumi Lot,E,19610,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Sekolah Jenis Kebangsaan (T) Batu Caves,373000
3.0,2.0,1100.0,101847016,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Bam Villa,Ideal Property Group,Leasehold,"Jalan Pria, Taman Maluri, Cheras, Kuala Lumpur",1996.0,19.0,462.0,Condominium,1.0,High,Non Bumi Lot,E,11536,REN 36012,"Park at Desa Pandan, Kampung Pandan, Kuala Lumpur, Malaysia","Taylor's International School - Kuala Lumpur
S.R.J.K. (C) Tsun Jin
SK St. Gabriel
SMK St. Gabriel
SK Puteri Pandan 1 & 2
Sekolah Kebangsaan Puteri Pandan 1 & 2
Sekolah Kebangsaan Puteri Pandan 2
SMK Datok Lokman
SMK Taman Maluri
Sekolah Menengah Kebangsaan Aminuddin Baki
Sekolah Kebangsaan Cochrane Perkasa
SMK Pandan Jaya
Sekolah Kebangsaan Taman Maluri
Sekolah Menengah Kebangsaan Cochrane
Sekolah Menengah Kebangsaan Cochrane Perkasa
Sekolah Rendah Agama Al-Suyuthi",340000
2.0,2.0,740.0,102566624,"Lift, Swimming Pool, Playground, Jogging Track, Gymnasium, Parking, Security, Club house, Barbeque area",one sentral,Ideal Property Group,Freehold,"Pangsapuri Satu Sentral, Jalan Sentral 1, Taman Nusa Sentral, 79100 Iskandar Puteri, Johor, Malaysia, Johor, Johor Bahru",2014.0,20.0,462.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11617,REN 39475,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,360000
1.0,1.0,646.0,103550482,"Parking, Security",Manhattan @ Austin Heights,Detik Hartamas (Austin Height Group),Freehold,"Jalan Austin Heights 8/4, Johor Bahru, Johor",2014.0,20.0,306.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11617,REN 39475,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,335000
3.0,2.0,800.0,80258486,"Jogging Track, Lift, Playground, Parking, Swimming Pool, Multipurpose hall",Karisma @ Eco Majestic,Eco World Development Group Berhad,Freehold,"Pangsapuri Karisma, Jalan Eco Majestic 3A/5, Semenyih, Selangor",2014.0,4.0,75.0,Apartment,2.0,Medium,Non Bumi Lot,E,11708,REN 17062,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,250000
2.0,2.0,721.0,103746381,"Swimming Pool, Jogging Track, Security, Multipurpose hall, Club house, Gymnasium, Parking",The Embassy Suites (Duta Impian),Ideal Property Group,Freehold,"Jalan Dato Abdullah Tahir, Taman Century, Skudai, Johor",2014.0,24.0,462.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11605,REN 28669,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,330000
2.0,2.0,810.0,103744742,"Lift, Multipurpose hall, Playground, Sauna, Parking, Swimming Pool, Security, Gymnasium, Minimart, Club house",Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Freehold,"Off Jalan Masai Baru, Plentong, Johor Bahru, Johor",2019.0,25.0,2003.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11605,REN 28669,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,290000
3.0,2.0,692.0,103761635,"Playground, Minimart, Parking",Taman Cempaka (Johor Bahru),Ideal Property Group,Freehold,"Off Jalan Persiaran Tanjung, Johor Bahru, Johor",2014.0,20.0,462.0,Flat,1.0,Medium,Non Bumi Lot,E,11605,REN 28669,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,138000
3.0,2.0,990.0,97315482,"Minimart, Swimming Pool, Parking, Security, Playground, Gymnasium, Lift, Barbeque area, Multipurpose hall",Zentro Residences,IOI Properties Group,Leasehold,"Jalan Sierra 10/1, Bandar 16 Sierra, Puchong, Selangor",2020.0,23.0,241.0,Service Residence,2.0,Low,Non Bumi Lot,E,31756,REN 15356,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,460000
3.0,2.0,689.0,103244628,"Security, Minimart, Playground, Swimming Pool, Jogging Track, Club house, Parking, Gymnasium, Barbeque area",Sri Dahlia Apartment,TLS Group,Freehold,"Jalan Laman Puteri 3, Bandar Puteri, Puchong, Selangor",2004.0,18.0,332.0,Apartment,1.0,Low,Non Bumi Lot,E,11723,REN 15901,"Park at Puchong Hartamas 2 Park, Puchong Hartamas","Sekolah Jenis Kebangsaan(T) Puchong
Sekolah Menengah Kebangsaan Puchong",168000
3.0,2.0,880.0,103745112,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Sentosa Dato Dagang 23 Shop Apartment,Ideal Property Group,Freehold,"Dato Dagang Sentosa Klang, Selangor, Klang",2014.0,20.0,462.0,Apartment,1.0,Low,Non Bumi Lot,E,11605,REN 31403,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,130000
3.0,1.0,650.0,103801145,"Security, Parking, Barbeque area",Pangsapuri Sri Ayu,Ideal Property Group,Leasehold,"Jalan 4/2A, Klang, Selangor",2014.0,5.0,462.0,Apartment,1.0,High,Bumi Lot,VE,10134,REN 59311,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,150000
3.0,2.0,1055.0,103800952,"Playground, Swimming Pool, Barbeque area, Sauna, Multipurpose hall, Security, Gymnasium",Central Residence @ Sg Besi,Yuk Tung Group,Freehold,"Jalan Sungai Besi, Sungai Besi, Kuala Lumpur",2015.0,27.0,526.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia","SK Salak South
SJK(C) Salak South",423000
3.0,2.0,1168.0,103800951,"Swimming Pool, Minimart, Sauna, Playground, Barbeque area, Jogging Track, Lift, Multipurpose hall, Club house, Security, Gymnasium, Tennis Court, Squash Court, Parking",The Sky Executive Suites @ Bukit Indah,Setia Promenade Sdn Bhd (SP Setia),Freehold,"Jalan Indah 15, Bukit Indah, Johor Bahru, Johor",2013.0,25.0,364.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11605,REN 54838,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,470000
3.0,2.0,775.0,103800943,"Gymnasium, Security, Minimart, Parking, Playground, Swimming Pool",Seasons Garden Residences @ Wangsa Maju,SCP Group,Leasehold,"Jalan 26/26, Taman Setapak Jaya, Wangsa Maju, Kuala Lumpur",2017.0,34.0,1502.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia","SMK Taman Seri Rampai
SK Wangsa Maju Zon R10",324400
2.0,1.0,650.0,103800941,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Taman Alor Vista,Ideal Property Group,Leasehold,"Lebuh Relau Off Jalan Paya Terubong, Relau, Penang",2014.0,20.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,V,11001,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,165000
5.0,3.0,2000.0,102905309,"Parking, Playground, Swimming Pool, Barbeque area, Tennis Court, Security, Lift",Desa Permai Indah Apartment,Ideal Property Group,Leasehold,"Lorong Helang 1, Sungai Dua, Penang",1997.0,14.0,528.0,Others,2.0,Medium,Non Bumi Lot,E,31505,REN 29260,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,900000
3.0,2.0,818.0,101682885,"Swimming Pool, Security, Jogging Track, Lift, Barbeque area, Parking, Playground, Gymnasium",Majestic Maxim,Maxim Holdings,Leasehold,"Jalan 9/142, Taman Connaught, Cheras, Kuala Lumpur",2021.0,44.0,2136.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia","SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",340200
1.0,2.0,893.0,102310065,"Security, Parking, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",Straits Quay,Eastern & Oriental Berhad,Freehold,"Jalan Seri Tanjung Pinang, Tanjong Tokong, Penang",2010.0,7.0,160.0,Service Residence,1.0,High,Non Bumi Lot,E,11799,REN 13351,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,780000
3.0,2.0,1055.0,101720817,"Swimming Pool, Tennis Court, Squash Court, Parking, Security, Minimart, Barbeque area, Sauna, Playground, Gymnasium",Pearl Garden,Ideal Property Group,Freehold,"Jalan Dato Ismail Hashim, Sungai Ara, Penang",1998.0,15.0,336.0,Condominium,1.0,High,Non Bumi Lot,E,11605,REN 49410,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,420000
3.0,2.0,800.0,82005054,"Jogging Track, Swimming Pool, Sauna, Security, Gymnasium, Barbeque area, Parking, Lift, Playground, Multipurpose hall",Pulse,Arte Corp,Leasehold,"Jalan Kaki Bukit, Off Jalan Yeap Chor Ee,, Gelugor, Penang",2012.0,30.0,249.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,420000
3.0,2.0,1077.0,102841289,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Pangsapuri Seri Pelangi,Ideal Property Group,Freehold,"Jalan Usahaniaga 1, Bukit Mertajam, Penang",2014.0,20.0,462.0,Apartment,1.0,Low,Non Bumi Lot,E,30510,REN 05166,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,320000
3.0,2.0,798.0,103801066,"Parking, Minimart, Playground, Security, Swimming Pool",Pangsapuri Seri Iskandar,Ideal Property Group,Leasehold,"Jalan Teknologi 1, Seri Iskandar, Perak",2014.0,20.0,462.0,Apartment,1.0,Low,Bumi Lot,VEPM,10384,REN 55823,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,218000
3.0,2.0,1173.0,103800986,"Security, Playground, Minimart, Parking, Swimming Pool, Lift",Sri Mahligai,Ideal Property Group,Leasehold,"Jalan Tengku Ampuan Rahimah 9/20, Section 9, 40100, Shah Alam, Selangor",2014.0,15.0,462.0,Condominium,1.0,Low,Bumi Lot,E,11584,REN 22963,"Park at Section 9, Shah Alam
Park at Section 10, Shah Alam
Park at Taman Awan, Section 10
Park 5 at Shah Alam, Petaling","Sekolah Menengah Kebangsaan Seksyen 9
Kompleks Darul Thibbun Nabawi (MATAN)",355000
3.0,2.0,1005.0,103800985,"Minimart, Parking, Security, Lift, Playground",Pangsapuri Mawar (Sentul),Ideal Property Group,Leasehold,"Jalan 7/48A, Bandar Baru Sentul, Sentul, Kuala Lumpur",2014.0,23.0,462.0,Condominium,1.0,Low,Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia","SK Bandar Baru Sentul
SK Convent Sentul 1 & 2
SJK (C) Chong Hwa
Wesley Methodist School Sentul
SMK (L) Methodist Sentul
SJK (C) Sentul
SJK(C) Chiao Nan
Institute Masalah Pembelajaran & Austism Malaysia
SK (L) Methodist Sentul
SJK (T) Sentul
SJK (T) St. Joseph
SJK (C) Chi Man
SMK Convent Sentul
SK dan SMK La Salle Sentul
SK Jalan Kuantan 1
SK Setapak
Asrama 1 Malaysia",360000
2.0,2.0,1164.0,100391017,"Swimming Pool, Security, Lift, Parking, Playground, Gymnasium, Barbeque area, Minimart, Club house",Allamanda (Ipoh),Kuala Lumpur Kepong Berhad,Freehold,"Lingkaran Meru Valley, Ipoh, Perak",2014.0,20.0,462.0,Condominium,1.0,Medium,Bumi Lot,E,15031,REN 47665,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,310000
